# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,4.3392480163743485,0.0,1.4530330242844807,0.6882156036972604,0.0,0.0
 0.030351156978346085,0.002302981824810516,0.07587789244586522,2.5000000000000004,4.3392480163743485,0.36,1.4530330242844807,0.6882156036972604,0.0,0.0
 0.04351568809063945,0.00473403777500455,0.1846671126724638,8.263812763145701,4.142187300864334,0.72,1.2356022475645976,0.8093219334709245,-14.969064513508892,-1137.0754025208241
 0.05400813068446694,0.0072921954500761495,0.24380954693776605,5.636669796992231,3.965582055560518,1.08,1.060355340124503,0.9430800809496406,-16.83166181035003,-177.51798784554433
 0.06317112785979574,0.009976478487696656,0.29294814636065686,5.362721223487396,3.80633268210068,1.44,0.9174954426694294,1.0899236699100388,-17.379616124799615,-59.80077304017295
 0.07151477420855862,0.012785907325252801,0.33671475517088556,5.245501424771921,3.661934227220088,1.8,0.7998386646616706,1.2502521373144633,-17.30639684914285,8.775452913056462
 0.07929564877599213,0.01571949978701375,0.37702605746137646,5.180818935086293,3.53034038917204,2.16,0.7020352496397526,1.4244298993720717,-16.912473900919604,50.62707858985354
 0.08666319066990388,0.018776271542720283,0.4148970986147397,5.140254605767276,3.409863189525599,2.52,0.6200452249691862,1.6127855835833522,-16.352428174992603,76.01527537831824
 0.09371283043416094,0.021955236469954495,0.4509400527601619,5.112737012204008,3.2990978610604142,2.88,0.5507786709743206,1.8156113384547232,-15.712196958883613,90.81757898539433
 0.100509515855032,0.025255406943532316,0.48555586572298265,5.093043273199542,3.1968658594425143,3.24,0.4918446706905796,2.033162214802368,-15.041449660737417,98.68741255649196
 0.10709956875518883,0.028675794068868544,0.5190227115255518,5.0783880356670075,3.102171095922318,3.6000000000000005,0.4413733429474582,2.265655631402827,-14.3693480090187,101.98729234824813
 0.11351723723178557,0.0322154078718437,0.551542014967436,5.067152278194512,3.014165948012079,3.960000000000001,0.3978878639519819,2.513270925299402,-13.71294703538626,102.28028699614674
 0.11978857617410556,0.03587325745454872,0.5832645335147278,5.058332652573317,2.9321245917779963,4.320000000000001,0.36021121439636994,2.7761489926841034,-13.081952193726035,100.61564961864423
 0.1259338733209045,0.03964835112401404,0.6143061237375239,5.051275712349482,2.8554218804464506,4.6800000000000015,0.32739739790412553,3.054392021444343,-12.481530103308312,97.70432187001401
 0.13196923353472462,0.04353969649935669,0.6447577671390718,5.04553867916914,2.7835164690496703,5.040000000000002,0.29868013298039797,3.3480633278867225,-11.91402150813256,94.03060879054726
 0.13790765113154013,0.04754630060154644,0.6746922116656622,5.040811636864797,2.7159372219068922,5.400000000000002,0.27343417996250946,3.6571872621671146,-11.380009243374438,89.92501050186958
 0.14375975783099787,0.05166716992906788,0.7041685224063471,5.036871720643134,2.6522721814526697,5.7600000000000025,0.2511458997569653,3.9817492579719733,-10.878995159148747,85.61260242779109
 0.1495343579543688,0.05590131052206325,0.7332352894634162,5.033554953775967,2.5921595528616774,6.120000000000003,0.23139064158658199,4.321695955995779,-10.40983398100665,81.24565651625173
 0.15523881990918606,0.06024772801699175,0.7619329446588876,5.0307382927213835,2.5352802871618327,6.480000000000003,0.21381522488862384,4.676935426468808,-9.971013243731461,76.92587675242847
 0.16087936809105755,0.06470542769344495,0.7902954700006082,5.028327819781184,2.481351942050447,6.840000000000003,0.19812425790161295,5.0473375173301225,-9.560834048844576,72.71973958225983
 0.16646130422946234,0.06927341451443404,0.8183516808013015,5.026250767661273,2.4301235707872584,7.200000000000004,0.18406937330884623,5.432734311112802,-9.177527293930838,68.66914013517872
 0.17198917775395922,0.07395069316120746,0.8461262049585556,5.024450004901664,2.3813714436678426,7.560000000000004,0.17144070077004167,5.832920627997949,-8.819327523209367,64.79883614089637
 0.17746691867891892,0.07873626806347506,0.8736402410821943,5.022880143576906,2.3348954482620075,7.920000000000004,0.16006006116683905,6.247654741039035,-8.484518717207708,61.121694251014915
 0.18289794249880503,0.08362914342574049,0.9009121529443108,5.021504741381971,2.290516045895343,8.280000000000005,0.14977550874829823,6.676659010255989,-8.171461558346726,57.642383691026915
 0.18828523388766907,0.08862832325033562,0.9279579409661851,5.020294257292281,2.2480716866658463,8.640000000000006,0.14045691757559883,7.119620857846072,-7.878608407414575,54.359998335620325
 0.19363141414309776,0.0937328113576396,0.9547916200769163,5.019224535776439,2.207416604457192,9.000000000000005,0.13199240198334694,7.5761936670124905,-7.604510186010194,51.26991764373308
 0.198938796019162,0.09894161140388438,0.9814255254056511,5.018275667867611,2.168418928232947,9.360000000000007,0.12428539297370161,8.045997812563515,-7.347818026835628,48.365119595449
 0.20420942867251812,0.10425372689689069,1.007870561729203,5.0174311250306545,2.1309590580344064,9.720000000000006,0.1172522389520374,8.528621789551114,-7.10728154706202,45.637117134400356
 0.20944513478236948,0.10966816121001233,1.0341364086372207,5.016677093199831,2.094928263279922,10.080000000000007,0.1108202270834131,9.023623451405776,-6.881745078603555,43.076609673354625
 0.21464754142037967,0.11518391759453406,1.060231690506874,5.016001955516928,2.0602274687618087,10.440000000000007,0.10492594522545473,9.530531250886487,-6.670142672927579,40.673945809993256
 0.21981810588822728,0.12079999919071978,1.0861641182715143,5.0153958868315405,2.02676619958104,10.800000000000008,0.0995139165890147,10.048845772294621,-6.47149250122355,38.41943620262476
