# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,12.739648420610752,-135.00000000000009,2411.8441019637016,0.000414620496899368,0.0,0.0
 0.013685653735993746,0.00020602682999967155,0.015054219109593122,1.1,12.739648420610752,-135.0285000653957,2411.8441019637016,0.000414620496899368,0.0,0.0
 0.019355290617394695,0.00035285992708205665,0.025898148356566904,1.9126320563045092,-11.84539694389885,-135.0570001307913,4677.236594372982,0.00021380145729704258,-4336.264540178932,-764822.2683191405
 0.02507025592947673,0.0004888874962109899,0.02380199383561553,-0.3667834197558268,-50.4777945863178,-135.0855001961869,3275.5362406097142,0.00030529352342438385,-6759.865639209744,-424079.7566884727
 0.03071530957325527,0.0006702387293611005,0.03212568818543989,1.4745111162934614,-80.62843909470774,-135.1140002615825,1245.5111698462035,0.0008028832050727257,-5341.073160858131,251333.74594504986
 0.03640313926195497,0.0009238696336968984,0.04459185985116593,2.1917273104173995,-96.2010466448128,-135.1425003269781,494.10339011801057,0.0020238679191437285,-2737.8821804464287,457677.37834759575
 0.04225653700470879,0.001259194459550374,0.0572872100257648,2.168885616958972,-104.54552592419483,-135.1710003923737,232.4027419653345,0.0043028752223119695,-1425.5787230095589,224195.16238434816
 0.0482381073571921,0.0016797328003261352,0.07030567493052568,2.176429288231333,-109.5796289716164,-135.19950045776935,125.83303753291892,0.007947038548905664,-841.6022466962398,97629.29162420965
 0.054307098264970335,0.002186865523639075,0.08356129231681333,2.1841550906426264,-112.92423219376707,-135.22800052316495,75.63406928849113,0.013221554907824656,-551.0970889516559,47867.126868201776
 0.06043425064862879,0.002781058686323142,0.09697704993739371,2.189558343017736,-115.3107129347546,-135.25650058856056,49.16045211228638,0.020341554176839558,-389.4926372897879,26375.131797420003
 0.06659967029641033,0.0034623306470278918,0.11049887917197783,2.19317256684216,-117.10708018685504,-135.28500065395616,33.935483208884605,0.02946768118328108,-291.3617165940699,15916.340865950278
 0.07278975065839229,0.004230457280781565,0.1240899291827177,2.1956177005734787,-118.51619238078956,-135.31350071935177,24.56723647490989,0.040704618975816974,-227.640371616006,10294.106255780729
 0.07899499097467148,0.005085072650156945,0.13772478192880483,2.197312602110935,-119.65829643196871,-135.34200078474737,18.483546035088988,0.0541021727162964,-184.0547654831168,7023.999702081498
 0.08520859855601311,0.006025722831481393,0.15138551461618785,2.1985187362658385,-120.60892671132073,-135.37050085014297,14.355742169471656,0.06965853720377897,-152.99168267506977,4999.202540779055
 0.09142560412839383,0.007051896729797237,0.1650591890852823,2.199398779669791,-121.41781291892461,-135.39900091553858,11.451434850151973,0.087325301421658,-130.10865089093568,3680.7159842019114
 0.0976422947196458,0.008163044723733828,0.17873625486527833,2.200055733711787,-122.11898594486358,-135.42750098093418,9.344598544840547,0.10701369301221957,-112.78879262957751,2786.0254595476245
 0.10385584261140474,0.009358590473665055,0.19240951719659033,2.200556359989908,-122.73649784759372,-135.4560010463298,7.775955526266773,0.1286015585637099,-99.38153104913633,2157.7465586486137
 0.11006405712008989,0.010637938692047698,0.20607345583707903,2.2009449933427976,-123.28781903549547,-135.4845011117254,6.581518979442053,0.15194060871412618,-88.80511250544957,1703.6168013992738
 0.11626521488811113,0.012000480426313744,0.21972376534145585,2.2012517686245805,-123.7859400567001,-135.513001177121,5.654077035600979,0.17686352585992113,-80.32710017045305,1367.166044172716
 0.1224579414446346,0.013445596753297703,0.23335703809845487,2.201497617012919,-124.24071833795261,-135.54150124251663,4.921487135912484,0.2031906154346966,-73.43748784991158,1112.5329461356419
 0.12864112695953453,0.014972661427347095,0.24697054137702115,2.2016973687367347,-124.65976772997841,-135.57000130791224,4.333961634178333,0.2307357758116352,-67.77241132681637,916.206785231299
 0.13481386526223546,0.016581042820379394,0.260562057576382,2.201861723736738,-125.04906187424409,-135.59850137330784,3.856363569923819,0.2593116499178408,-63.06668534697641,762.3401072715059
 0.1409754089881234,0.018270105371294844,0.27412976780782905,2.201998530732129,-125.4133531431339,-135.62700143870345,3.4633965874603314,0.288733898861201,-59.12337639660543,639.9871729876761
 0.14712513610000313,0.02003921068821393,0.2876721657293735,2.2021136345032186,-125.75646962686547,-135.65550150409905,3.136520831296996,0.3188246001817516,-55.79377385197291,541.4228117863253
 0.15326252456178013,0.021887718400421096,0.301187992860396,2.2022114479468975,-126.08152960772696,-135.68400156949465,2.8619278289437537,0.34941482097718307,-52.96389219713487,461.08889350287006
 0.15938713294150667,0.023814986826835312,0.31467618938605013,2.2022953451688934,-126.39109904729818,-135.71250163489026,2.629181931348217,0.3803464446780259,-50.545181075730305,394.9168618537145
 0.16549858538615314,0.025820373507952476,0.32813585629286,2.2023679360542707,-126.6873089821127,-135.74100170028586,2.4302910501812987,0.41147335004397945,-48.4680094457724,339.8818282186692
 0.17159655986053077,0.027903235634823276,0.34156622590378777,2.202431260963664,-126.97194423661804,-135.76950176568147,2.2590597245282784,0.44266204613462057,-46.677016393120404,293.7029435228655
 0.17768077885188047,0.030062930399395258,0.35496663871608675,2.2024869307549833,-127.24651130099028,-135.79800183107707,2.110631428412868,0.4737918646231712,-45.127741911099534,254.6381851513828
 0.18375100195735614,0.03229881528417803,0.3683365250225948,2.202536228766893,-127.51229086288845,-135.82650189647268,1.9811599302215648,0.5047548079009271,-43.784150480140696,221.3413588945099
